Post,Huishouden,Woonsituatie,Inkomen,Jaar,Bedrag
 kleding en schoenen,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,76
 inventaris,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,79
 onderhoud huis en tuin,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,26
 niet-vergoede ziektekosten,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,38
 vrijetijdsuitgaven,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,203
RESERVERINGSUITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,422
 voeding,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,217
 overige huishoudelijke uitgaven,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,108
HUISHOUDELIJKE UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,324
OVERSCHOT/TEKORT,Alleenstaand,1.5 keer gemiddelde huur,2250,2019,0
TOTAAL INKOMEN,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,2.500
TOTAAL UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,2.500
 huur/hypotheek,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,935
 gas,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,85
 elektriciteit,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,35
 water,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,10
 lokale lasten,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,44
 telefoon televisie internet,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,70
 verzekeringen,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,189
 onderwijs,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,0
 kinderopvang,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,0
 contributies en abonnementen,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,57
 vervoer,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,223
VASTE LASTEN,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,1.646
 kleding en schoenen,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,87
 inventaris,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,87
 onderhoud huis en tuin,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,28
 niet-vergoede ziektekosten,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,38
 vrijetijdsuitgaven,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,267
RESERVERINGSUITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,507
 voeding,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,222
 overige huishoudelijke uitgaven,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,125
HUISHOUDELIJKE UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,347
OVERSCHOT/TEKORT,Alleenstaand,1.5 keer gemiddelde huur,2500,2019,0
TOTAAL INKOMEN,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,3.000
TOTAAL UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,2.995
 huur/hypotheek,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,1.074
 gas,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,87
 elektriciteit,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,36
 water,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,10
 lokale lasten,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,44
 telefoon televisie internet,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,76
 verzekeringen,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,200
 onderwijs,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,0
 kinderopvang,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,0
 contributies en abonnementen,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,76
 vervoer,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,328
VASTE LASTEN,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,1.930
 kleding en schoenen,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,109
 inventaris,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,103
 onderhoud huis en tuin,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,32
 niet-vergoede ziektekosten,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,38
 vrijetijdsuitgaven,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,390
RESERVERINGSUITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,672
 voeding,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,238
 overige huishoudelijke uitgaven,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,155
HUISHOUDELIJKE UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,393
OVERSCHOT/TEKORT,Alleenstaand,1.5 keer gemiddelde huur,3000,2019,5
TOTAAL INKOMEN,Alleenstaand,1.5 keer gemiddelde huur,3500,2019,3.500
TOTAAL UITGAVEN,Alleenstaand,1.5 keer gemiddelde huur,3500,2019,3.241
 huur/hypotheek,Alleenstaand,1.5 keer gemiddelde huur,3500,2019,1.143
 gas,Alleenstaand,1.5 keer gemiddelde huur,3500,2019,87
 elektriciteit,Alleenstaand,1.5 keer gemiddelde huur,3500,2019,36
